2012-10-25 13:05:28.6450|INFO|Lesson1.App_Start.PreStartApp|Application PreStart
2012-10-25 13:05:28.9340|INFO|Lesson1.MvcApplication|Application Start
2012-10-25 13:05:29.2650|INFO|Lesson1.MvcApplication|Application Init
2012-10-25 13:05:29.2710|INFO|Lesson1.MvcApplication|Application BeginRequest
2012-10-25 13:05:29.2940|INFO|Lesson1.MvcApplication|Application AuthenticateRequest
2012-10-25 13:05:29.2940|INFO|Lesson1.MvcApplication|Application AuthorizeRequest
2012-10-25 13:05:29.2940|INFO|Lesson1.MvcApplication|Application ResolveRequestCache
2012-10-25 13:05:29.3320|INFO|Lesson1.MvcApplication|Session Start
2012-10-25 13:05:29.3320|INFO|Lesson1.MvcApplication|Application AcquireRequestState
2012-10-25 13:05:29.3320|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.4891|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.4891|INFO|Lesson1.MvcApplication|Application ReleaseRequestState
2012-10-25 13:05:30.4891|INFO|Lesson1.MvcApplication|Application UpdateRequestCache
2012-10-25 13:05:30.4891|INFO|Lesson1.MvcApplication|Application EndRequest
2012-10-25 13:05:30.4891|INFO|Lesson1.MvcApplication|Application PreSendRequestHeaders
2012-10-25 13:05:30.6071|INFO|Lesson1.MvcApplication|Application Init
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application BeginRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application BeginRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AuthenticateRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AuthenticateRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AuthorizeRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application ResolveRequestCache
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AuthorizeRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application ResolveRequestCache
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AcquireRequestState
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AcquireRequestState
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application ReleaseRequestState
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application ReleaseRequestState
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application UpdateRequestCache
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application UpdateRequestCache
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application EndRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application EndRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreSendRequestHeaders
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreSendRequestHeaders
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application BeginRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application BeginRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AuthenticateRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AuthenticateRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AuthorizeRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application ResolveRequestCache
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AuthorizeRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AcquireRequestState
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application ResolveRequestCache
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application ReleaseRequestState
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application AcquireRequestState
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application UpdateRequestCache
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application EndRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application ReleaseRequestState
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application UpdateRequestCache
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreSendRequestHeaders
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application EndRequest
2012-10-25 13:05:30.6081|INFO|Lesson1.MvcApplication|Application PreSendRequestHeaders
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application BeginRequest
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application AuthenticateRequest
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application BeginRequest
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application AuthorizeRequest
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application ResolveRequestCache
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application AuthenticateRequest
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application AuthorizeRequest
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application ResolveRequestCache
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application AcquireRequestState
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application AcquireRequestState
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application ReleaseRequestState
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application UpdateRequestCache
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application EndRequest
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application PreSendRequestHeaders
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application ReleaseRequestState
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application UpdateRequestCache
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application EndRequest
2012-10-25 13:05:30.6321|INFO|Lesson1.MvcApplication|Application PreSendRequestHeaders
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application BeginRequest
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application AuthenticateRequest
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application AuthorizeRequest
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application ResolveRequestCache
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application AcquireRequestState
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application ReleaseRequestState
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application BeginRequest
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application UpdateRequestCache
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application AuthenticateRequest
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application AuthorizeRequest
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application ResolveRequestCache
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application EndRequest
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application PreSendRequestHeaders
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application AcquireRequestState
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application ReleaseRequestState
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application UpdateRequestCache
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application EndRequest
2012-10-25 13:05:30.6611|INFO|Lesson1.MvcApplication|Application PreSendRequestHeaders
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application BeginRequest
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application AuthenticateRequest
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application AuthorizeRequest
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application ResolveRequestCache
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application AcquireRequestState
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application BeginRequest
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application PreRequestHandlerExecute
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application ReleaseRequestState
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application UpdateRequestCache
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application AuthenticateRequest
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application EndRequest
2012-10-25 13:05:30.6701|INFO|Lesson1.MvcApplication|Application AuthorizeRequest
